unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
5127.8,0.0,84.2,73.7,50.9,77.0,12.7
1472.2,6031.6,90.1,77.7,61.4,83.9,10.3
508.1,0.0,86.9,75.3,56.4,78.2,10.8
1362.5,0.0,89.6,77.2,60.7,83.0,10.5
3398.3,0.0,90.5,79.5,60.5,84.7,10.9
674.6,0.0,91.8,78.7,66.6,84.7,9.3
9521.3,0.0,77.5,66.2,40.0,72.0,14.4
2724.7,0.0,87.1,73.7,65.2,76.9,8.8
2261.6,0.0,83.9,69.3,53.9,75.3,10.6
354.7,0.0,84.1,73.3,51.5,75.5,10.6
737.0,0.0,84.7,75.4,51.5,76.2,10.6
5838.7,0.0,84.1,69.9,53.4,75.4,11.7
5362.0,0.0,85.0,69.4,56.2,75.5,11.1
3429.5,0.0,86.1,70.1,59.2,75.5,10.2
7540.8,0.0,85.3,70.3,57.0,75.2,10.4
682.3,0.0,86.9,71.9,61.0,76.3,10.0
4574.9,0.0,86.4,72.2,57.6,76.4,10.9
3430.7,0.0,86.9,72.4,60.2,76.8,10.3
3763.2,0.0,85.5,71.0,56.7,76.0,11.1
3229.1,0.0,85.7,73.2,55.9,77.0,11.7
4212.5,0.0,84.5,70.3,53.7,75.5,11.9
5488.1,0.0,86.7,72.8,59.4,76.6,10.7
1963.4,0.0,85.8,71.4,57.4,76.5,10.9
981.3,0.0,89.5,77.0,59.8,83.4,10.7
3383.0,2740.5,87.3,75.4,54.9,81.7,11.8
10521.2,741.2,84.2,74.2,50.1,77.1,12.0
7583.4,0.0,83.2,70.8,49.8,75.6,11.9
1161.8,0.0,90.8,77.2,71.1,79.3,9.3
4061.9,0.0,82.2,70.2,46.5,74.9,14.1
1396.6,0.0,91.4,79.8,62.9,84.8,10.4
10196.1,0.0,88.5,72.8,63.6,77.0,9.5
3455.1,6820.2,86.9,74.2,57.2,79.5,11.0
6003.9,0.0,83.8,71.8,52.8,76.1,11.3
5893.0,0.0,86.1,74.2,58.1,76.2,8.6
1453.9,0.0,87.6,73.4,65.5,76.9,10.1
2975.8,0.0,86.0,72.5,56.6,76.4,11.0
5518.8,0.0,84.1,73.6,52.5,76.5,10.9
668.9,4245.0,89.4,75.7,60.7,82.8,10.0
1253.4,0.0,92.8,80.3,68.6,85.4,9.0
10948.5,0.0,89.3,76.6,62.0,78.6,11.2
5925.0,0.0,87.0,75.3,57.9,77.5,11.2
2441.0,4586.2,89.5,76.6,59.8,82.9,10.3
902.0,2911.5,90.3,77.1,63.0,83.5,9.8
1324.9,0.0,84.9,70.3,56.9,74.6,9.1
4766.7,0.0,83.3,68.7,52.0,75.3,11.2
11687.9,0.0,79.7,62.5,47.9,71.7,11.5
2332.3,0.0,88.7,77.2,60.7,78.3,9.5
0.0,112.8,92.0,77.2,80.6,76.4,7.4
0.0,67.4,92.6,77.3,80.8,76.9,7.5
0.0,48.3,83.6,65.1,59.1,74.6,11.0
0.0,139.2,94.9,86.7,79.0,83.8,9.9
3.6,2.6,87.3,78.5,70.5,82.3,11.9
193.3,0.0,86.6,81.5,67.5,83.6,13.4
14.5,128.3,88.2,75.2,70.6,77.5,10.0
14930.3,0.0,81.3,73.5,47.4,77.0,15.7
10545.8,0.0,84.0,77.3,50.1,78.6,16.9
36539.0,0.0,79.5,66.7,49.8,73.5,14.0
34354.4,0.0,78.3,68.1,46.1,73.3,15.7
13154.4,0.0,79.8,72.1,45.1,76.1,16.9
1174.8,0.0,87.8,74.0,65.9,76.8,11.7
8486.2,0.0,81.2,73.2,48.3,77.5,16.2
5064.2,0.0,82.1,75.2,47.7,77.9,16.7
19835.9,0.0,83.0,72.8,51.4,77.2,14.7
26346.3,0.0,81.6,68.8,51.6,75.9,14.0
17960.3,0.0,81.3,70.0,50.5,76.1,14.3
16733.1,0.0,88.0,75.0,61.8,79.5,11.5
25707.1,0.0,82.2,69.9,55.1,74.4,12.5
19062.9,0.0,81.2,70.5,50.1,75.5,14.7
0.0,39.9,,,,,
6654.9,0.0,82.9,70.0,55.8,74.5,12.3
1287.0,0.0,84.2,68.3,62.2,74.5,11.0
317.0,0.0,80.5,74.2,44.2,77.1,18.3
306.2,0.0,88.9,75.3,66.4,80.4,10.7
31103.8,0.0,77.7,72.9,39.1,77.6,19.4
2.4,7.3,87.1,79.9,68.2,76.4,12.3
4773.6,0.0,,,,,
0.0,81.6,,,,,
33.3,0.0,,,,,
0.0,364.7,,,,,
10.3,0.0,,,,,
3339.7,0.0,,,,,
3364.1,0.0,75.4,68.9,34.6,69.1,14.8
11.7,2.4,84.9,79.2,56.5,77.4,12.4
3.8,13.8,83.5,78.8,53.4,76.9,13.2
1.5,0.7,84.9,78.2,57.7,76.9,11.9
0.0,127.7,88.0,75.4,70.6,76.7,9.6
0.0,497.7,90.7,75.9,78.3,75.3,7.7
390.7,0.0,88.0,77.1,69.5,74.9,9.8
518.9,0.0,89.9,76.8,73.2,76.2,8.6
3.0,3.4,84.5,75.9,61.7,76.9,12.3
0.0,1165.2,89.5,79.0,77.9,83.3,9.3
303.5,0.0,82.6,76.1,54.9,77.1,14.1
116.1,0.0,83.0,79.6,58.1,78.4,14.0
0.0,453.4,86.6,75.7,66.8,76.9,11.1
5429.6,762.8,68.0,62.9,46.0,70.8,14.9
2730.2,0.0,83.4,72.1,54.9,71.7,12.6
14566.7,0.0,83.2,72.7,53.5,71.6,13.2
1927.8,0.0,87.0,71.7,66.8,72.2,9.3
2813.7,0.0,80.9,72.3,50.5,70.7,14.2
11062.0,0.0,83.2,78.2,48.3,74.0,16.3
17876.5,0.0,83.3,72.4,54.7,71.7,13.1
31589.3,0.0,84.6,73.0,57.0,72.1,12.4
0.0,151.2,91.5,77.7,77.7,78.3,7.9
0.0,427.8,91.4,78.3,76.3,78.3,8.4
24787.0,0.0,83.3,72.9,52.8,71.8,13.7
23835.6,0.0,82.4,71.6,51.7,71.0,13.8
5038.2,0.0,87.3,69.8,66.3,71.6,9.4
33.9,0.0,83.4,78.3,44.8,75.2,18.3
1490.9,0.0,76.4,74.6,48.2,80.0,17.8
0.0,549.6,89.1,77.1,72.4,78.4,10.0
3.1,46.7,87.6,76.0,69.7,77.5,10.6
0.0,3035.2,87.0,75.8,68.6,76.0,9.0
0.0,3100.5,88.3,77.8,70.5,77.0,9.0
0.0,575.8,90.3,76.5,75.3,77.1,8.4
2.0,0.0,85.5,75.5,64.5,77.0,11.3
0.0,18.8,83.7,74.7,59.7,76.2,12.7
0.0,1430.6,87.6,79.6,64.7,77.6,10.8
0.0,359.2,91.7,77.4,78.0,78.2,7.8
1360.7,444.2,63.7,56.9,39.7,69.3,16.1
29.1,28.6,86.3,79.7,66.1,79.8,12.3
5.8,1.1,81.3,75.8,58.9,77.5,13.1
